taxon,common_name,lifeform,status,family,start_bloom,end_bloom,month
Malacothrix saxatilis,Cliff aster,perennial herb,native,Asteraceae,Jun,Dec,Jul
Malacothrix saxatilis,Cliff aster,perennial herb,native,Asteraceae,Jun,Dec,Aug
Malacothrix saxatilis,Cliff aster,perennial herb,native,Asteraceae,Jun,Dec,Sep
Malacothrix saxatilis,Cliff aster,perennial herb,native,Asteraceae,Jun,Dec,Oct
Malacothrix saxatilis,Cliff aster,perennial herb,native,Asteraceae,Jun,Dec,Nov
Malosma laurina,Laurel sumac,"tree, shrub",native,Anacardiaceae,Feb,May,Feb
Malosma laurina,Laurel sumac,"tree, shrub",native,Anacardiaceae,Feb,May,Mar
Malosma laurina,Laurel sumac,"tree, shrub",native,Anacardiaceae,Feb,May,Apr
Malosma laurina,Laurel sumac,"tree, shrub",native,Anacardiaceae,Feb,May,May
Marah macrocarpa,Chilicothe,"perennial herb, vine",native,Cucurbitaceae,Jan,Apr,Jan
Marah macrocarpa,Chilicothe,"perennial herb, vine",native,Cucurbitaceae,Jan,Apr,Feb
Marah macrocarpa,Chilicothe,"perennial herb, vine",native,Cucurbitaceae,Jan,Apr,Mar
Marah macrocarpa,Chilicothe,"perennial herb, vine",native,Cucurbitaceae,Jan,Apr,Apr
Melica imperfecta,Coast range melic,perennial grass,native,Poaceae,Mar,May,Mar
Melica imperfecta,Coast range melic,perennial grass,native,Poaceae,Mar,May,Apr
Melica imperfecta,Coast range melic,perennial grass,native,Poaceae,Mar,May,May
Muhlenbergia rigens,Deergrass,perennial grass,native,Poaceae,May,Jun,May
Muhlenbergia rigens,Deergrass,perennial grass,native,Poaceae,May,Jun,Jun
Penstemon centranthifolius,Scarlet bugler,perennial herb,native,Plantaginaceae,May,Jul,May
Penstemon centranthifolius,Scarlet bugler,perennial herb,native,Plantaginaceae,May,Jul,Jun
Penstemon centranthifolius,Scarlet bugler,perennial herb,native,Plantaginaceae,May,Jul,Jul
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Jan
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Feb
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Mar
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Apr
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,May
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Nov
Peritoma arborea,Bladderpod,shrub,native,Cleomaceae,Nov,Jun,Dec
Phacelia grandiflora,Giant flowered phacelia,annual herb,native,Boraginaceae,Apr,Jul,Apr
Phacelia grandiflora,Giant flowered phacelia,annual herb,native,Boraginaceae,Apr,Jul,May
Phacelia grandiflora,Giant flowered phacelia,annual herb,native,Boraginaceae,Apr,Jul,Jun
Phacelia grandiflora,Giant flowered phacelia,annual herb,native,Boraginaceae,Apr,Jul,Jul
Phacelia parryi,Parry's phacelia,annual herb,native,Boraginaceae,Mar,Jun,Mar
Phacelia parryi,Parry's phacelia,annual herb,native,Boraginaceae,Mar,Jun,Apr
Phacelia parryi,Parry's phacelia,annual herb,native,Boraginaceae,Mar,Jun,May
Phacelia parryi,Parry's phacelia,annual herb,native,Boraginaceae,Mar,Jun,Jun
Platanus racemosa,California sycamore,tree,native,Platanaceae,Feb,May,Feb
Platanus racemosa,California sycamore,tree,native,Platanaceae,Feb,May,Mar
Platanus racemosa,California sycamore,tree,native,Platanaceae,Feb,May,Apr
Platanus racemosa,California sycamore,tree,native,Platanaceae,Feb,May,May
Pseudognaphalium biolettii,Two-color rabbit-tobacco,perennial herb,native,Asteraceae,Jun,Oct,Jun
Pseudognaphalium biolettii,Two-color rabbit-tobacco,perennial herb,native,Asteraceae,Jun,Oct,Jul
Pseudognaphalium biolettii,Two-color rabbit-tobacco,perennial herb,native,Asteraceae,Jun,Oct,Aug
Pseudognaphalium biolettii,Two-color rabbit-tobacco,perennial herb,native,Asteraceae,Jun,Oct,Sep
Pseudognaphalium biolettii,Two-color rabbit-tobacco,perennial herb,native,Asteraceae,Jun,Oct,Oct
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Jan
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Feb
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Mar
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,Apr
Pseudognaphalium californicum,Ladies' tobacco,"annual, perennial herb",native,Asteraceae,Jan,Jul,May
