Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Agoseris grandiflora var. grandiflora,,,1 record,Giant mountain dandelion,,Perennial herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Agrostis exarata,,,7 records,Bentgrass,,Perennial grass,native,POACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Agrostis hallii,,,1 record,Hall's bent grass,,Perennial grass,native,POACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Agrostis pallens,,,31 records,Diego bent grass,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Alisma triviale,,,6 records,Northern water plantain,,Perennial herb (aquatic),native,ALISMATACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Allium campanulatum,,,1 record,Dusky onion,,Perennial herb (bulb),native,ALLIACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Allium haematochiton,,,40 records,Red skinned onion,,Perennial herb (bulb),native,ALLIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Allium lacunosum,,,2 records,Pitted onion,,Perennial herb (bulb),native,ALLIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Allium lacunosum var. lacunosum,,,1 record,Pitted onion,,Perennial herb (bulb),native,ALLIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Allium peninsulare,,,18 records,Mexicali onion,,Perennial herb (bulb),native,ALLIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Allium peninsulare var. peninsulare,,,3 records,Mexicali onion,,Perennial herb (bulb),native,ALLIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Allophyllum divaricatum,,,3 records,Purple false gilia,,Annual herb,native,POLEMONIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Allophyllum gilioides,,,7 records,Dense false gilia,,Annual herb,native,POLEMONIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Allophyllum gilioides ssp. gilioides,,,1 record,Dense false gilia,,Annual herb,native,POLEMONIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Allophyllum glutinosum,,,60 records,Sticky false gilia,,Annual herb,native,POLEMONIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Alnus rhombifolia,,,39 records,White alder,,Tree,native,BETULACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Alopecurus saccatus,,,4 records,Foxtail,,Annual grass,native,POACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Amaranthus blitoides,,,17 records,Prostrate pigweed,,Annual herb,native,AMARANTHACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Amaranthus californicus,,,1 record,California amaranth,,Annual herb,native,AMARANTHACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Amaranthus fimbriatus,,,1 record,Fringed amaranth,,Annual herb,native,AMARANTHACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Amaranthus powellii,,,4 records,Powell's amaranth,,Annual herb,native,AMARANTHACEAE,May,Nov,,,,,X,X,X,X,X,X,X,,,,,,,,,
Amblyopappus pusillus,,,12 records,Pineapple weed,,Annual herb,native,ASTERACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Ambrosia acanthicarpa,,,10 records,Annual burrweed,,Annual herb,native,ASTERACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Ambrosia chamissonis,,,20 records,Silver beachweed,,Perennial herb,native,ASTERACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Ambrosia confertiflora,,,1 record,Weak leaved burweed,,Perennial herb,native,ASTERACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Ambrosia psilostachya,,,62 records,Ragweed,,Perennial herb,native,ASTERACEAE,May,Nov,,,,,X,X,X,X,X,X,X,,,,,,,,,
Ammannia coccinea,,,1 record,Red ammannia,,Annual herb,native,LYTHRACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Amorpha californica,,,21 records,False indigo,,Shrub,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Amorpha californica var. californica,,,10 records,California false indigo,,Shrub,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Amsinckia douglasiana,,,6 records,Douglas' fiddleneck,,Annual herb,native,BORAGINACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Amsinckia intermedia,,,50 records,Common fiddleneck,,Annual herb,native,BORAGINACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Amsinckia menziesii,,,28 records,Fiddleneck,,Annual herb,native,BORAGINACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Amsinckia tessellata var. gloriosa,,,1 record,Large flowered devil's fiddleneck,,Annual herb,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Anaphalis margaritacea,,,1 record,Pearly everlasting,,Perennial herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Ancistrocarphus filagineus,,,2 records,Woolly fishhooks,,Annual herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Andropogon glomeratus,,,1 record,Bushy bluestem,,Perennial grass,native,POACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Andropogon glomeratus var. scabriglumis,,,1 record,Beardgrass,,Perennial grass,native,POACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Antirrhinum coulterianum,,,51 records,Coulter's snapdragon,,Annual herb,native,PLANTAGINACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Antirrhinum kelloggii,,,57 records,Lax snapdragon,,Annual herb,native,PLANTAGINACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Antirrhinum multiflorum,,,45 records,Sticky snapdragon,,"Annual, Perennial herb",native,PLANTAGINACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Antirrhinum nuttallianum,,,11 records,Nuttall's snapdragon,,"Annual, Perennial herb",native,PLANTAGINACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
