Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Eriogonum parvifolium,,,17 records,Sea cliff buckwheat,,Shrub,native,POLYGONACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eriogonum roseum,,,3 records,Wand buckwheat,,Annual herb,native,POLYGONACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eriogonum wrightii,,,3 records,Wright's buckwheat,,"Perennial herb, Shrub",native,POLYGONACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Eriogonum wrightii var. membranaceum,,,7 records,Wright s buckwheat,,"Perennial herb, Shrub",native,POLYGONACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eriophyllum confertiflorum var. confertiflorum,,,40 records,Golden yarrow,,Shrub,native,ASTERACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Erysimum capitatum,,,17 records,Wallflower,,Perennial herb,native,BRASSICACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Erysimum capitatum var. capitatum,,,4 records,Sanddune wallflower,,Perennial herb,native,BRASSICACEAE,Jan,Jul,X,X,X,X,X,X,X,,,,,,,,,,,,,
Erysimum insulare,,,1 record,Island wallflower,,Perennial herb,native,BRASSICACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Erysimum suffrutescens,,,5 records,Suffrutescent wallflower,,Perennial herb,native,BRASSICACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Erythranthe floribunda,,,11 records,Many flowered monkey flower,,Annual herb,native,PHRYMACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Erythranthe glaucescens,,,1 record,shield-bracted monkeyflower,,Annual herb,native,PHRYMACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Erythranthe guttata,,,64 records,Yellow monkey flower,,"Annual, Perennial herb (rhizomatous)",native,PHRYMACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Eschscholzia minutiflora,,,1 record,Coville s poppy,,Annual herb,native,PAPAVERACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Eucrypta chrysanthemifolia,,,71 records,Spotted eucrypta,,Annual herb,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Eucrypta chrysanthemifolia var. chrysanthemifolia,,,13 records,Common eucrypta,,Annual herb,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Eulobus californicus,,,70 records,California primrose,,Annual herb,native,ONAGRACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Euphorbia albomarginata,,,9 records,Rattlesnake sandmat,,Perennial herb,native,EUPHORBIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Euphorbia crenulata,,,3 records,Chinesecaps,,"Annual, Perennial herb",native,EUPHORBIACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Euphorbia melanadenia,,,2 records,Red-gland spurge,,Perennial herb,native,EUPHORBIACEAE,Dec,May,X,X,X,X,X,,,,,,,X,,,,,,,,
Euphorbia polycarpa,,,16 records,Smallseed sandmat,,Perennial herb,native,EUPHORBIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Euphorbia serpillifolia,,,6 records,Thyme-leafed spurge,,Annual herb,native,EUPHORBIACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Euphorbia serpillifolia ssp. serpillifolia,,,1 record,,,"Annual, Perennial herb",native,EUPHORBIACEAE,,,,,,,,,,,,,,,,,,,,,,
Euphorbia spathulata,,,7 records,Reticulate seeded spurge,,Annual herb,native,EUPHORBIACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Euthamia occidentalis,,,22 records,Western goldenrod,,Perennial herb,native,ASTERACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Extriplex californica,,,14 records,California orach,,Perennial herb,native,CHENOPODIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Festuca elmeri,,,3 records,Coast fescue,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Festuca microstachys,,,34 records,Small fescue,,Annual grass,native,POACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Festuca octoflora,,,20 records,Sixweeks grass,,Annual grass,native,POACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Festuca rubra,,,1 record,Red fescue,,Perennial grass,native,POACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Frangula californica ssp. californica,,,20 records,California coffeeberry,,Shrub,native,RHAMNACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Frangula californica ssp. tomentella,,,10 records,Hoary coffeeberry,,Shrub,native,RHAMNACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Frankenia salina,,,8 records,"Yerba reuma, alkali heath",,Perennial herb,native,FRANKENIACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Fraxinus velutina,,,23 records,Arizona ash,,Tree,native,OLEACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Fremontodendron californicum,,,,California fremontia,,Shrub,native,MALVACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Fritillaria atropurpurea,,,1 record,Spotted mountain bells,,Perennial herb,native,LILIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Fritillaria biflora,,,38 records,Chocolate lily,,Perennial herb,native,LILIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Fritillaria biflora var. biflora,,,8 records,Chocolate lily,,Perennial herb (bulb),native,LILIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Galium andrewsii,,,9 records,Phlox leaved bedstraw,,Perennial herb,native,RUBIACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Galium andrewsii ssp. andrewsii,,,3 records,Phlox leaved bedstraw,,Perennial herb,native,RUBIACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Galium andrewsii ssp. intermedium,,,3 records,Phlox leaved bedstraw,,Perennial herb,native,RUBIACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Galium angustifolium,,,57 records,Narrow leaved bedstraw,,Perennial herb,native,RUBIACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Galium angustifolium ssp. angustifolium,,,28 records,Narrow leaved bedstraw,,Perennial herb,native,RUBIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Galium aparine,,,52 records,Cleavers,,Annual herb,native,RUBIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Galium nuttallii,,,43 records,Climbing bedstraw,,Perennial herb,native,RUBIACEAE,Mar,Mar,,,X,,,,,,,,,,,,,,,,,
Galium nuttallii ssp. nuttallii,,,26 records,Climbing bedstraw,,Perennial herb,native,RUBIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Galium porrigens,,,5 records,Climbing bedstraw,,"Vine, Shrub",native,RUBIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Galium porrigens var. porrigens,,,6 records,Graceful bedstraw,,"Vine, Shrub",native,RUBIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Gambelia speciosa,,,4 records,Showy island snapdragon,,Shrub,native,PLANTAGINACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Garrya elliptica,,,2 records,Coast silk tassel,,"Tree, Shrub",native,GARRYACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Garrya flavescens,,,36 records,Ashy silk tassel,,Shrub,native,GARRYACEAE,Dec,Jan,X,,,,,,,,,,,X,,,,,,,,
Garrya veatchii,,,,Southern silk tassel,,Shrub,native,GARRYACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Geranium bicknellii,,,3 records,Bicknell's geranium,,Annual herb,native,GERANIACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Geranium carolinianum,,,39 records,Carolina geranium,,Annual herb,native,GERANIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Gilia achilleifolia,,,2 records,California gilia,,Annual herb,native,POLEMONIACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Gilia achilleifolia ssp. achilleifolia,,,3 records,California gilia,,Annual herb,native,POLEMONIACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Gilia angelensis,,,37 records,Chaparral gilia,,Annual herb,native,POLEMONIACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Gilia capitata,,,37 records,Blue field gilia,,Annual herb,native,POLEMONIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Gilia capitata ssp. abrotanifolia,,,30 records,Ball gilia,,Annual herb,native,POLEMONIACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Gilia clivorum,,,2 records,Purple spot gilia,,Annual herb,native,POLEMONIACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Gilia latiflora ssp. davyi,,,1 record,Broad flowered gilia,,Annual herb,native,POLEMONIACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Gilia tricolor,,,1 record,Bird's eyes,,Annual herb,native,POLEMONIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Githopsis diffusa,,,1 record,San gabriel bluecup,,Annual herb,native,CAMPANULACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Githopsis diffusa ssp. diffusa,,,2 records,Southern blue cup,,Annual herb,native,CAMPANULACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Gnaphalium palustre,,,16 records,Lowland cudweed,,Annual herb,native,ASTERACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Grindelia hirsutula,,,12 records,Gumweed,,Perennial herb,native,ASTERACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Grindelia stricta var. platyphylla,,,2 records,Gumplant,,Perennial herb,native,ASTERACEAE,,,,,,,,,,,,,,,,,,,,,,
Grindelia Xpaludosa,,,1 record,Suisun gumplant,,Perennial herb,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Gutierrezia californica,,,3 records,"Matchweed, snakeweed",,"Perennial herb, Shrub",native,ASTERACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Gutierrezia sarothrae,,,2 records,Matchweed,,Shrub,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Hazardia squarrosa var. grindelioides,,,29 records,Gum plant goldenbush,,Shrub,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Hazardia squarrosa var. obtusa,,,1 record,Saw toothed goldenbush,,Shrub,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Hazardia squarrosa var. squarrosa,,,17 records,Saw toothed goldenbush,,Shrub,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Helenium puberulum,,,10 records,Sneezeweed,,Perennial herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Helianthus annuus,,,17 records,Hairy leaved sunflower,,Annual herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Heliotropium curassavicum,,,32 records,Chinese parsley,,Perennial herb,native,BORAGINACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Heliotropium curassavicum var. oculatum,,,9 records,Seaside heliotrope,,Perennial herb,native,BORAGINACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Hemizonia congesta ssp. congesta,,,,Hayfield tarweed,,Annual herb,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Hemizonia congesta ssp. luzulifolia,,,1 record,Woodrush tarweed,,Annual herb,native,ASTERACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Hesperocnide tenella,,,30 records,Western stinging nettle,,Annual herb,native,URTICACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Hesperocyparis forbesii,,,5 records,Tecate cypress,,Tree,native,CUPRESSACEAE,,,,,,,,,,,,,,,,,,,,,,
Hesperocyparis macrocarpa,,,2 records,Monterey cypress,,Tree,native,CUPRESSACEAE,,,,,,,,,,,,,,,,,,,,,,
Hesperolinon micranthum,,,12 records,Small flower western flax,,Annual herb,native,LINACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Heterotheca grandiflora,,X,94 records,Telegraph weed,,"Annual, Perennial herb",native,ASTERACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Heterotheca sessiliflora,,,8 records,Golden aster,,"Annual, Perennial herb",native,ASTERACEAE,Mar,Dec,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Heterotheca sessiliflora ssp. echioides,,,2 records,Bristly goldenaster,,Perennial herb,native,ASTERACEAE,Mar,Dec,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Heterotheca sessiliflora ssp. fastigiata,,,1 record,Erect goldenaster,,Perennial herb,native,ASTERACEAE,Mar,Dec,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Heterotheca sessiliflora ssp. sessiliflora,,,1 record,False goldenaster,,Perennial herb,native,ASTERACEAE,Mar,Dec,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Heterotheca subaxillaris,,,,Camphorweed,,Perennial herb,native,ASTERACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Hieracium argutum,,,3 records,Hawkweed,,Perennial herb,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Hoita macrostachya,,,35 records,California hemp,,Perennial herb,native,FABACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Holodiscus discolor,,,16 records,Oceanspray,,Shrub,native,ROSACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Hordeum brachyantherum,,,3 records,Meadow barley,,Perennial grass,native,POACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Hordeum brachyantherum ssp. californicum,,,5 records,Meadow barley,,Perennial grass,native,POACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Hordeum depressum,,,4 records,Alkali barley,,Annual grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Hordeum intercedens,,,3 records,Vernal barley,,Annual grass,native,POACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Horkelia cuneata,,,9 records,Wedge leaved horkelia,,Perennial herb,native,ROSACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Horkelia cuneata var. cuneata,,,5 records,Wedge leaved horkelia,,Perennial herb,native,ROSACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Horkelia cuneata var. puberula,,,6 records,Mesa horkelia,,Perennial herb,native,ROSACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Hosackia crassifolia,,,1 record,Broad leaved lotus,,Perennial herb,native,FABACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Hydrocotyle ranunculoides,,,4 records,Marsh pennywort,,Perennial herb,native,ARALIACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Hydrocotyle umbellata,,,1 record,Marsh pennywort,,Perennial herb,native,ARALIACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Hydrocotyle verticillata,,,1 record,Whorled marsh pennywort,,Perennial herb,native,ARALIACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Hypericum scouleri,,,1 record,Scouler's st john's wort,,Perennial herb,native,HYPERICACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Isocoma menziesii var. decumbens,,,2 records,Decumbent goldenbush,,Shrub,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Isocoma menziesii var. menziesii,,,,Menzies' goldenbush,,Shrub,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Isocoma menziesii var. sedoides,,,9 records,White flowered dune goldenbush,,Shrub,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Isocoma menziesii var. vernonioides,,,18 records,Green leaved dune goldenbush,,Shrub,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Isolepis cernua,,,2 records,Low bulrush,,Annual grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Iva axillaris,,,3 records,Povertyweed,,Perennial herb,native,ASTERACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Iva hayesiana,,,1 record,San diego marsh elder,,Perennial herb,native,ASTERACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Jaumea carnosa,,,11 records,Marsh jaumea,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Juglans hindsii,,,,Northern california black walnut,,Tree,native,JUGLANDACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Juncus acutus,,,,Spiny rush,,Perennial grasslike herb (rhizomatous),native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juncus acutus ssp. leopoldii,,,1 record,Wire grass,,Perennial grasslike herb (rhizomatous),native,JUNCACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Juncus balticus,,,4 records,Wire rush,,Perennial grasslike herb,native,JUNCACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Juncus bufonius,,,18 records,Common toad rush,,Annual grasslike herb,native,JUNCACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Juncus bufonius var. congestus,,,2 records,Clustered toad rush,,Annual grasslike herb,native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juncus dubius,,,2 records,Mariposa rush,,Perennial grasslike herb,native,JUNCACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Juncus effusus,,,2 records,Common bog rush,,Perennial grasslike herb,native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juncus macrophyllus,,,21 records,Rush,,Perennial grasslike herb,native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juncus mexicanus,,,10 records,Mexican rush,,Perennial grasslike herb,native,JUNCACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Juncus phaeocephalus var. paniculatus,,,3 records,Rush,,Perennial grasslike herb,native,JUNCACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Juncus phaeocephalus var. phaeocephalus,,,1 record,Brown headed rush,,Perennial grasslike herb,native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juncus rugulosus,,,7 records,Wrinkled rush,,Perennial grasslike herb,native,JUNCACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Juncus textilis,,,5 records,Basket rush,,Perennial grasslike herb,native,JUNCACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Juncus xiphioides,,,45 records,Iris leaved rush,,Perennial grasslike herb,native,JUNCACEAE,,,,,,,,,,,,,,,,,,,,,,
Juniperus californica,,,7 records,California juniper,,Shrub,native,CUPRESSACEAE,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis var. saxatilis,,,1 record,Common juniper,,Shrub,native,CUPRESSACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Keckiella antirrhinoides,,,1 record,Chaparral beard tongue,,Shrub,native,PLANTAGINACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Keckiella breviflora,,,1 record,Gaping keckiella,,Shrub,native,PLANTAGINACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Koeleria macrantha,,,20 records,June grass,,Perennial grass,native,POACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Lagophylla ramosissima,,,5 records,Common hareleaf,,Annual herb,native,ASTERACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Lasthenia coronaria,,,15 records,Royal goldfields,,Annual herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Lasthenia glabrata ssp. coulteri,,,2 records,Goldfields,,Annual herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Lasthenia gracilis,,,4 records,Needle goldfields,,Annual herb,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Lathyrus vestitus,,,53 records,Common pacific pea,,Perennial herb,native,FABACEAE,Jan,May,X,X,X,X,X,,,,,,,,,,,,,,,
Lathyrus vestitus var. alefeldii,,,2 records,San diego pea,,Perennial herb,native,FABACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
Lathyrus vestitus var. ochropetalus,,,1 record,Bolander's pacific pea,,Perennial herb,native,FABACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
Lathyrus vestitus var. vestitus,,,55 records,Hillside pea,,Perennial herb,native,FABACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Layia hieracioides,,,3 records,Hawkweed layia,,Annual herb,native,ASTERACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Layia platyglossa,,,16 records,Tidy tips,,Annual herb,native,ASTERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Lemna minuta,,,2 records,Least duckweed,,Perennial herb,native,ARACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Lemna valdiviana,,,4 records,Duckweed,,Perennial herb,native,ARACEAE,Aug,Aug,,,,,,,,X,,,,,,,,,,,,
Lepechinia calycina,,,1 record,Pitcher sage,,Shrub,native,LAMIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Lepechinia fragrans,,,38 records,Pitcher sage,,Shrub,native,LAMIACEAE,Mar,Oct,,,X,X,X,X,X,X,X,X,,,,,,,,,,
Lepidium lasiocarpum ssp. lasiocarpum,,,,Shaggyfruit pepperweed,,Annual herb,native,BRASSICACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Lepidium latipes,,,,Dwarf pepper grass,,Annual herb,native,BRASSICACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Lepidium nitidum,,,44 records,Shining pepper grass,,Annual herb,native,BRASSICACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Lepidium oblongum,,,2 records,Veiny pepper grass,,Annual herb,native,BRASSICACEAE,Jan,Jul,X,X,X,X,X,X,X,,,,,,,,,,,,,
Lepidium virginicum,,,7 records,Wild pepper grass,,Annual herb,native,BRASSICACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Lepidium virginicum ssp. menziesii,,,2 records,Robinson's pepper grass,,Annual herb,native,BRASSICACEAE,Jan,Jul,X,X,X,X,X,X,X,,,,,,,,,,,,,
Leptochloa fusca ssp. uninervia,,,13 records,Mexican sprangletop,,Annual grass,native,POACEAE,Apr,Dec,,,,X,X,X,X,X,X,X,X,X,,,,,,,,
Leptosiphon androsaceus,,,4 records,False babystars,,Annual herb,native,POLEMONIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Leptosiphon liniflorus,,,15 records,Narrowflower flaxflower,,Annual herb,native,POLEMONIACEAE,Apr,Apr,,,,X,X,X,X,X,,,,,,,,,,,,
Leptosiphon parviflorus,,,22 records,Variable linanthus,,Annual herb,native,POLEMONIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Leptosiphon pygmaeus,,,1 record,Pygmy linanthus,,Annual herb,native,POLEMONIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Leptosyne bigelovii,,,18 records,Bigelow coreopsis,,Annual herb,native,ASTERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Leptosyne calliopsidea,,,1 record,Leafy stemmed coreopsis,,Annual herb,native,ASTERACEAE,Jan,May,X,X,X,X,X,,,,,,,,,,,,,,,
Leptosyne gigantea,,,77 records,Giant coreopsis,,Shrub,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Leptosyne maritima,,,1 record,Sea dahlia,,Perennial herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Lewisia rediviva,,,5 records,Bitter root,,Perennial herb,native,MONTIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Lilium humboldtii,,,42 records,Humboldt's lily,,Perennial herb,native,LILIACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Lilium humboldtii ssp. humboldtii,,,2 records,Humboldt's lily,,Perennial herb (bulb),native,LILIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Lilium humboldtii ssp. ocellatum,,,14 records,Humboldt lily,,Perennial herb (bulb),native,LILIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Lilium pardalinum,,,1 record,California tiger lily,,Perennial herb,native,LILIACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Limonium californicum,,,4 records,Marsh rosemary,,Perennial herb,native,PLUMBAGINACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Linanthus californicus,,,102 records,Prickly phlox,,Shrub,native,POLEMONIACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Linanthus dianthiflorus,,,45 records,Fringed linanthus,,Annual herb,native,POLEMONIACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Lithophragma affine,,,37 records,Common woodland star,,Perennial herb,native,SAXIFRAGACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Lithophragma bolanderi,,,1 record,Hillstar,,Perennial herb,native,SAXIFRAGACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Lithophragma heterophyllum,,,2 records,Woodland star,,Perennial herb,native,SAXIFRAGACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Lobelia dunnii,,,2 records,Dunn's lobelia,,Perennial herb,native,CAMPANULACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Lobelia dunnii var. serrata,,,3 records,Dunn's lobelia,,Perennial herb,native,CAMPANULACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Loeflingia squarrosa,,,,Spreading loeflingia,,Annual herb,native,CARYOPHYLLACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Logfia depressa,,,,Dwarf cottonrose,,Annual herb,native,ASTERACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Logfia filaginoides,,,51 records,California cottonrose,,Annual herb,native,ASTERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Lomatium dasycarpum,,,22 records,Lace parsnip,,Perennial herb,native,APIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Lomatium dasycarpum ssp. dasycarpum,,,10 records,Woolly fruited lomatium,,Perennial herb,native,APIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
